"Position","Name","Type","Signal","Label"
"1","VBAT","Power","",""
"2","PC13","I/O","",""
"3","PC14-OSC32_IN","I/O","",""
"4","PC15-OSC32_OUT","I/O","",""
"5","PF0-OSC_IN","I/O","",""
"6","PF1-OSC_OUT","I/O","",""
"7","NRST","Reset","",""
"8","VSSA","Power","",""
"9","VDDA","Power","",""
"10","PA0","I/O","ADC_IN0","ADC_IN0_ECU-CURRENT"
"11","PA1","I/O","ADC_IN1","ADC_IN1_ECU-VOLTAGE"
"12","PA2","I/O","ADC_IN2","ADC_IN2_INJIGN-CURRENT"
"13","PA3","I/O","ADC_IN3","ADC_IN3_INJIGN-VOLTAGE"
"14","PA4","I/O","ADC_IN4","ADC_IN4_FP-CURRENT"
"15","PA5","I/O","ADC_IN5","ADC_IN5_FP-VOLTAGE"
"16","PA6","I/O","ADC_IN6","ADC_IN6_WP-VOLTAGE"
"17","PA7","I/O","ADC_IN7","ADC_IN7_WP-CURRENT"
"18","PB0","I/O","ADC_IN8","ADC_IN8_FAN-VOLTAGE"
"19","PB1","I/O","ADC_IN9","ADC_IN9_FAN-CURRENT"
"20","PB2","I/O","",""
"21","PB10","I/O","",""
"22","PB11","I/O","",""
"23","VSS","Power","",""
"24","VDD","Power","",""
"25","PB12","I/O","",""
"26","PB13","I/O","TIM1_CH1N","TIM1_CH1N_WP-SIG"
"27","PB14","I/O","TIM1_CH2N","TIM1_CH2N_FAN-SIG"
"28","PB15","I/O","TIM1_CH3N","TIM1_CH3N_ECU-SIG"
"29","PA8","I/O","",""
"30","PA9","I/O","",""
"31","PA10","I/O","",""
"32","PA11","I/O","CAN_RX",""
"33","PA12","I/O","CAN_TX",""
"34","PA13","I/O","SYS_SWDIO",""
"35","VSS","Power","",""
"36","VDDIO2","Power","",""
"37","PA14","I/O","SYS_SWCLK",""
"38","PA15","I/O","",""
"39","PB3","I/O","",""
"40","PB4","I/O","",""
"41","PB5","I/O","",""
"42","PB6","I/O","",""
"43","PB7","I/O","",""
"44","BOOT0","Boot","",""
"45","PB8","I/O","",""
"46","PB9","I/O","",""
"47","VSS","Power","",""
"48","VDD","Power","",""
